Gene.symbol,x axis,y axis,Unnamed: 3,Gene.symbol.1,x axis.1,y axis.1,Gene.symbol.2,x axis.2,y axis.2,Unnamed: 10,Gene.symbol.3,x axis.3,y axis.3,Unnamed: 14,Gene.symbol.4,x axis.4,y axis.4,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
PLAG1,2.533,7.607,,CCEPR,2.956,9.506,CARMIL3,-0.358,3.213,,B3GNT6,0.217,2.834,,BTLA,-0.262,3.833,,,Cirrhotic,Training
CENPE,2.524,9.133,,CCHCR1,0.965,7.246,CARNMT1,0.134,2.35,,BAG2,1.008,4.409,,BUB1,4.233,44.156,,,Cirrhotic,Training
STC1,2.489,4.62,,CCL18,2.291,6.069,CARTPT,-0.139,3.066,,BAHD1,0.266,3.684,,BUB3,0.372,3.229,,,Cirrhotic,Training
CDKN2A,2.474,7.681,,CCL20,3.842,8.536,CASC1,0.273,4.091,,BANF1,0.521,4.02,,C10orf54,-0.466,3.812,,,Cirrhotic,Training
CCDC34,2.473,5.888,,CCL25,2.667,5.256,CASP1,1.241,4.159,,BATF2,0.731,3.544,,C10orf82,0.155,2.753,,,Cirrhotic,Training
SRXN1,2.452,4.578,,CCM2,-0.461,2.751,CASP10,-0.184,2.496,,BBX,1.016,3.388,,C11orf84,0.199,3.094,,,Cirrhotic,Training
IQGAP3,2.443,7.897,,CCNA2,2.874,29.03,CASP2,0.537,3.503,,BCAT1,1.666,3.779,,C14orf180,-0.924,10.174,,,Cirrhotic,Training
TRIM31,2.438,5.577,,CCNB1,3.491,42.7,CASR,0.194,3.433,,BCL11A,0.799,5.213,,C15orf41,0.285,3.571,,,Cirrhotic,Training
ENAH,2.429,7.338,,CCNB2,4.191,41.741,CASZ1,-0.357,2.708,,BCL11B,1.795,4.227,,C16orf72,-0.93,4.303,,,Cirrhotic,Training
KIF18B,2.417,5.77,,CCND2,1.612,4.919,CATR1,-0.079,2.624,,BCL2,0.964,3.331,,C17orf100,0.231,2.689,,,Cirrhotic,Training
E2F8,2.414,7.258,,CCNE2,2.026,20.49,CBL,0.254,2.177,,BCL2L11,-0.458,3.862,,C17orf51,0.184,2.912,,,Cirrhotic,Training
C12orf75,2.411,5.262,,CCNF,2.518,30.741,CBLB,0.636,2.814,,BCL2L13,-0.744,3.059,,C17orf62,0.469,2.912,,,Cirrhotic,Training
CENPK,2.404,6.024,,CCNG2,0.868,5.506,CBS,-0.971,2.483,,BCLAF1,-0.755,2.957,,C18orf32,0.462,3.246,,,Cirrhotic,Training
DIAPH3,2.399,7.866,,CD3G,1.073,1.832,CBX2,0.221,2.37,,BDKRB2,0.499,3.568,,C19orf54,0.349,3.087,,,Cirrhotic,Training
SQLE,2.396,3.715,,CD55,-0.727,1.434,CCK,0.365,2.576,,BEX3,-0.94,2.851,,C1orf162,-0.717,2.713,,,Cirrhotic,Training
TYMS,2.394,4.167,,CD58,0.61,4.337,CCL4L1,-0.866,2.181,,BICD1,0.72,4.046,,C1orf198,1.038,3.448,,,Cirrhotic,Training
H2AFX,2.393,6.208,,CDC20,4.234,45.942,CCL5,0.644,2.252,,BICD2,0.706,4.243,,C1orf54,-0.734,5.065,,,Cirrhotic,Training
ITGA6,2.39,7.656,,CDC25A,2.681,15.279,CCM2L,0.227,2.288,,BIRC3,1.69,3.404,,C1QC,-0.811,2.8,,,Cirrhotic,Training
UBAP2L,2.377,8.933,,CDC25C,3.552,32.76,CCNA1,-0.199,3.78,,BIRC5,0.131,35.447,,C1QTNF6,0.325,3.134,,,Cirrhotic,Training
HJURP,2.375,6.316,,CDC34,-0.437,2.298,CCNB1,4.586,10.432,,BIRC6,0.445,3.575,,C1R,-0.838,3.195,,,Cirrhotic,Training
